clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,gain,match_error,match_metric,limiter_target_dba
628213__josefpres__bass-loops-033-with-drums-long-loop-120-bpm,limiter_matched_loudness,61.787771002550556,-20.058357263250038,13.637567907124655,0.5577518719688863,0.116027955900353,2.6968221796449536,-3.214689978864527,-3.0760564694605073,,0.04560822859786384,lufs,65.25
629137__holizna__funky-lofi-drum-loop-88-bpm,original,68.9850063990755,-16.123038387568126,15.807792563389514,1.0022153824199347,0.16239454472695722,,,,,,,
629137__holizna__funky-lofi-drum-loop-88-bpm,proposed,68.04161018740153,-18.700318474891407,20.766943954709305,1.274171839761732,0.1166489421974757,0.510335310512648,-0.9433962116739707,-2.577280087323281,,,,
629137__holizna__funky-lofi-drum-loop-88-bpm,gain_matched_exposure,68.04161018740153,-17.06643459924207,15.807792563389507,0.8990653362099524,0.14568056778480748,0.6337361324369333,-0.9433962116739707,-0.9433962116739423,0.8970779654559705,0.0,laeq,
629137__holizna__funky-lofi-drum-loop-88-bpm,gain_matched_loudness,66.40772631175221,-18.700318474891418,15.807792563389508,0.7448984315412941,0.1207000449004153,1.7201765230152182,-2.577280087323288,-2.5772800873232917,0.743251844471468,1.0658141036401503e-14,lufs,
629137__holizna__funky-lofi-drum-loop-88-bpm,limiter_matched_exposure,68.10843561141604,-16.42265839166138,16.030614314232906,1.0022153824199347,0.1582815696656407,0.6029224824736132,-0.8765707876594604,-0.29962000409325285,,0.0668254240145103,laeq,78.0
629137__holizna__funky-lofi-drum-loop-88-bpm,limiter_matched_loudness,66.42237819430497,-18.760246474226772,18.337771046860873,1.0022153824199347,0.12135914604832475,1.3814766841777655,-2.562628204770533,-2.637208086658646,,0.059927999335364746,lufs,73.5
629139__holizna__boombap-drums-90-bpm,original,68.56465609098835,-18.006747303547044,16.580366608881366,1.0077969777944384,0.14940141859397066,,,,,,,
629139__holizna__boombap-drums-90-bpm,proposed,68.31264433751647,-20.932841701817676,21.879742104020238,1.0590402006021218,0.08529534709108565,0.7362217375252968,-0.25201175347187643,-2.9260943982706316,,,,
629139__holizna__boombap-drums-90-bpm,gain_matched_exposure,68.31264433751647,-18.2587590570189,16.58036660888137,0.9789769443873025,0.1451289768524059,0.25174965069324223,-0.25201175347187643,-0.2520117534718551,0.9714029372560647,0.0,laeq,
629139__holizna__boombap-drums-90-bpm,gain_matched_loudness,65.63856169271772,-20.932841701817694,16.580366608881366,0.7195621847494804,0.10667189278878429,2.91143238883355,-2.926094398270635,-2.9260943982706493,0.7139951801842478,1.7763568394002505e-14,lufs,
629139__holizna__boombap-drums-90-bpm,limiter_matched_exposure,68.35867823667232,-18.097614912981218,16.61505101761724,1.0077969777944384,0.14880601988575684,0.19227965127178312,-0.205977854316032,-0.0908676094341736,,0.04603389915584444,laeq,82.5
629139__holizna__boombap-drums-90-bpm,limiter_matched_loudness,64.12433289604971,-20.837704889794708,14.800809799714283,0.6857968872661906,0.12478288420407327,4.09348980000544,-4.440323194938642,-2.8309575862476635,,0.09513681202296809,lufs,71.25
657761__kevp888__221029_2225_fr_malechoir,original,55.35756052229249,-34.32609396860684,16.443980065642936,0.132121741771698,0.01989643590142243,,,,,,,
